Standard distribution,Custom parameter distribution
0.11145668266,-3.969733182099952
-0.72699285083,-4.1247311330199
0.731172350159628,-3.7612111819280662
1.75542362755,-4.078402275939529
0.12278275193094115,-1.9049652740415115
0.35560857578946614,-1.1155493092796964
0.07469969156999999,-2.1232257521704634
-1.23703913198,-4.672789414160555
-0.71662745584,-5.579476436316066
0.9134934632699999,-1.2627872328155099
-0.39426749652,-1.9104337474887687
-0.1273681377,-3.4163988006534503
1.14723120786,-1.1016477125314585
0.9510558770574492,-3.252172181508462
0.018770051225808302,-3.2093894202818274
2.16541133566,-4.0321259437865
-0.14243812156,-1.6372648759596817
1.5000753731099998,-1.9328575287572527
-1.02177550466,0.15539200276933762
-0.13149899622,-1.5822534989442805
-0.97790425723,-6.104978430125922
-0.7692538731539503,-2.2576190446499558
0.8001625948,-3.7073586796759117
-0.7615314179,-1.3829251564646803
0.0982991333,-1.1623928220578061
1.20533096797,-2.6011628730581413
0.7455052167899999,-3.0484415875905255
0.10679122270200855,-2.5203318495540117
-2.47338978754,-3.1490611189234667
0.38837719826,-4.634276041068159
-0.12024172504075055,0.06446365983630953
0.5731204775897764,-4.344235722920095
0.23489285832614767,-1.8818290521526897
1.38972790246,-3.868768659040668
-1.8259924606,-3.8002611428977553
1.3647132592,-3.337459212828765
0.78777001924,-1.6592682316567313
-1.13686581287,-0.7431271551488825
-1.52772917598,-5.660776435975995
-0.6544350859,-4.3778808325598
-0.5058679658960668,-2.4700624772665822
-0.87256736497,-3.2416790018123125
1.5893478155699998,-3.9779259440132146
-0.52790841938,-2.6380567012135527
0.3582173633967287,-4.669057078846825
0.13172848835999998,-1.862395014738541
0.7879995113799999,-4.0597157915491255
0.9663020383985926,-5.387125938118656
1.3432939927999998,-1.5996169719255429
1.6961764067399998,-1.7634610830166446
-0.5659378415801711,-4.947954482869843
-0.09011391364,-2.2064189653953274
0.17013017311999998,-3.983876043788725
-0.5860627745504803,-6.064139108939464
1.60487678371,-4.1268433931669595
-0.56730457008,-3.352456314403627
-0.29408184468831916,-3.4204556868640257
0.7170781210087045,-3.608700720864851
0.46441559398,-2.174667069320558
-1.0314141745399998,-3.6078861818016796
-0.19969641048999998,-1.6485700655331517
-0.39172503798870795,-3.401253092133969
0.7508907188275067,-1.8293990068925285
-1.59921597759,-2.1984451774136784
-1.17553523846,-2.383441372878672
-1.22219864026,-1.730789626067478
1.33660047205,-4.651260871336435
0.9340140567139047,-0.6090335429353333
0.8655079717543678,-2.290261280413884
0.2769205156,-0.29503055023680425
-0.06529051383,-6.174865056580099
-0.45592831741418866,-3.6479902521472374
0.50339100909,-1.7142375303283306
0.69509344337,-2.0754626785179564
-0.509018839239903,-4.3111208776938605
0.6913450717499999,-3.012074814123048
-0.1968790960488971,-0.34614731649005304
0.24219070507999998,-6.494926332686421
-0.6815715052631086,-3.792715565546416
2.708056048103034,-3.0809213569469422
-0.62697252648,-2.1787239555311335
0.37139477989999997,-4.011562158696933
-0.5281273614541359,-3.943144906234549
-0.35402987463999996,-4.499316959796354
-0.022937335325720908,-4.361815563165921
-0.34673192185306745,-4.975541309101755
-0.654636620227089,-0.9871353377609529
-0.17648312021030116,0.28050637350348007
-0.52266834885,-6.097946494027592
-0.8907488388635938,-2.481617287022099
0.27988597446178815,-0.8771125837301503
0.46594554157999996,-1.2496970133093868
-0.85673240731,-3.2014379233090997
1.15537817883,-3.1236538916983356
0.15103897094986002,-3.9351934092618213
-0.38145418537,-4.8205141640416365
-0.27076247650999996,-4.629299593983187
0.011053871409999999,-1.9825870302038524
1.8404504654199998,-1.56283453694966
0.37609936877,-1.3407335398746967
0.26464268610999997,-5.350884421304182
1.58296028434,-3.6528295724637263
-1.1915614395699998,-6.826616255832539
-2.00434610207,-5.453929331052795
0.1810230882541081,-1.6029212941102842
-0.80043033563,-3.5646644686959426
0.9390818368799999,-2.109107788157661
-0.5845042780578301,-1.7782388489422996
0.4096434699,-3.679469791235686
0.10940001030927113,-2.7158691387776943
-0.21740555396,-1.9859407228045947
-0.05328042517,-1.625094217327956
-3.1618921266914892,-3.56720678405457
-0.58103584979,-1.7314928196773112
-1.9154178978199998,-3.280345650281686
0.66231431604,-0.8563954181481455
-0.38613477883028846,-4.874281429285794
-0.24973245536486052,-2.924678623324817
-0.31528395167,-2.716829342501843
0.99588114153,-2.270571859338559
-0.08028400030999999,-3.6371616740133113
0.2351639011944348,-4.26842944797117
0.027680585520743376,-6.63169794190652
-1.25696669947,-1.1318309459381386
-0.26491042694,-3.932503955506764
0.2314031813969529,-3.941080572701334
0.79044742754,-3.245035927118749
-0.6644958045610282,-1.1260972134271923
1.8945723617699999,-1.638617171363207
1.9271984943399998,-0.25202755640470587
-0.45226923869231433,-2.9845838323998137
0.32125074731,0.40978581408048065
1.96468221054,-2.8165746514658547
-0.32717929426,-2.6915287950076303
-0.40451814544,-0.6996373349715155
-1.3673906674999998,-7.060851431087912
-1.10726132681,-5.562004779702522
-1.1444788439387532,-1.4894860342624585
0.23886306905,-5.006752287015114
-0.2439050336966903,-3.6564582806872266
-0.39667157033494554,-2.4392842338823506
1.61011685424,-1.6575493070125584
0.6380263978899999,-2.0218576887222213
0.22585851445,-3.7034640689137595
-0.85543195185,0.37587024536007085
0.8361163634,-2.737600599899989
-0.97690979129,-5.153395200573376
-0.4144926389248149,-4.8671954013713234
0.2894402355689047,-2.8073849982281316
0.8201421716748328,-2.752043114809637
0.32580234142,-0.7169467161366367
0.01904784762,-4.455198463750124
-1.4466419531799999,-3.4330477675950593
-0.67944972916,-1.8864288021564812
0.397281416788591,-2.696703513761896
2.7280754537220604,-4.687286020886344
1.14627499061,-4.388550002757686
-0.73139145018,-3.036894298518507
1.06384906366,-2.9410940122224463
-0.12613690742599273,-3.647798595897079
0.6864492394299999,-3.7145428850145974
0.6478605485199141,-2.0209381278478245
-1.0789955449,-3.1076968059367394
1.14306210065,-0.7013141812718864
-1.0388726690899999,-3.468056485068109
0.7472316401056321,-0.7980303485320022
0.3834243501474187,-0.3661612884622243
-0.5690209542069358,-3.7808694578115363
-0.9643030972449761,-4.659536919206008
-0.44490876207999996,-4.916797596772624
-0.99932352363,-2.4301096697921407
-1.2498141944399999,-4.958015560672069
2.02389118266,-2.5370281456491455
0.60914863694,-1.8239357334622872
0.6949786973,-1.8188699739757919
-0.44510000552999995,-4.684797797343857
0.34641838532999997,-4.145123747705059
-1.6649654756999999,-1.459735535384906
0.17215735369,-2.0094706628259313
0.6903123571199999,-5.285703782854272
-0.5831490637163952,-5.06035727681085
-0.81504133521,-3.2182969392930385
1.17859513366,-2.613189422775679
0.8763835668443835,-1.0918570938099368
0.59817126291,-2.1162246460959033
-0.21388703603390588,-2.515923755800378
-0.9149086648,-3.671228572478893
1.05386615557,-2.3393604353423356
0.0019889318799999997,-2.134747309008497
-1.2768177695799998,-1.4747730602721052
0.6322890943899999,-4.859514363479301
2.29974073494,-3.84261717418267
0.38803296005,-3.673959674043644
-0.52866944719071,-1.6777255544331529
0.3082844414,-3.7658319329243373
0.7977911760199999,-5.585101985194731
0.22042594523132952,-3.11264643139345
0.53001209733,-3.67658043629168
-1.57615201752,-2.4429506385527255
-0.33146314754,-3.117541516474402
1.09819638728,-1.5700287484964137
0.94214173208,-5.8333834212819395
0.5545201607535816,-2.7705966077460014
-0.34446770214,-2.9808514970860847
0.6060860664451817,-2.9163199604298664
-0.79148014217,-3.494669658609483
-0.9043902750499999,-2.7109339903361263
0.16469885914,-4.787409972563342
-0.05760252714,-4.49158183008819
0.062374072661477924,-3.62108223293101
-1.7824272026899999,-0.45773873318894465
0.38214266179,-2.8796457090862657
1.9755448384999998,-5.765552283841121
-0.55292306264,-3.6696025920094906
0.9774452729499999,-3.3034402284257225
-1.552896814,-4.399193008119355
